RUNNO,TRNO,TNAM,WSTA....,SOIL_ID...,PDAT,HDAT,HWAH,PRCM,ETCM,Zones,Pyear,Pday,Hyear,Hday
48884,1,AAAA0001,AAAA7932,WI_VRZM080,2006302,2007119,1383,796,360,Monze,2006,302,2007,119
48885,1,AAAA0001,AAAA7932,WI_VRZM080,2007302,2008119,0,1031,379,Monze,2007,302,2008,119
48886,1,AAAA0001,AAAA7932,WI_VRZM080,2008302,2009119,0,678,387,Monze,2008,302,2009,119
48887,1,AAAA0001,AAAA7932,WI_VRZM080,2009302,2010119,1756,907,411,Monze,2009,302,2010,119
48946,3,AAAA0001,AAAA7932,WI_VRZM080,2006302,2007119,2122,796,357,Monze,2006,302,2007,119
48947,3,AAAA0001,AAAA7932,WI_VRZM080,2007302,2008119,0,1031,379,Monze,2007,302,2008,119
48948,3,AAAA0001,AAAA7932,WI_VRZM080,2008302,2009119,0,678,387,Monze,2008,302,2009,119
48949,3,AAAA0001,AAAA7932,WI_VRZM080,2009302,2010119,2691,907,413,Monze,2009,302,2010,119
71204,1,AAAA0001,AAAA7932,WI_VRZM080,2006316,2007119,1469,796,360,Monze,2006,316,2007,119
71205,1,AAAA0001,AAAA7932,WI_VRZM080,2007316,2008119,0,1031,381,Monze,2007,316,2008,119
71206,1,AAAA0001,AAAA7932,WI_VRZM080,2008316,2009119,2729,678,351,Monze,2008,316,2009,119
71207,1,AAAA0001,AAAA7932,WI_VRZM080,2009316,2010119,1492,907,409,Monze,2009,316,2010,119
71266,3,AAAA0001,AAAA7932,WI_VRZM080,2006316,2007119,2598,796,358,Monze,2006,316,2007,119
71267,3,AAAA0001,AAAA7932,WI_VRZM080,2007316,2008119,0,1031,381,Monze,2007,316,2008,119
71268,3,AAAA0001,AAAA7932,WI_VRZM080,2008316,2009119,4101,678,351,Monze,2008,316,2009,119
71269,3,AAAA0001,AAAA7932,WI_VRZM080,2009316,2010119,2270,907,411,Monze,2009,316,2010,119
91664,1,AAAA0001,AAAA7932,WI_VRZM080,2006330,2007119,2052,796,364,Monze,2006,330,2007,119
91665,1,AAAA0001,AAAA7932,WI_VRZM080,2007330,2008119,2855,1031,381,Monze,2007,330,2008,119
91666,1,AAAA0001,AAAA7932,WI_VRZM080,2008330,2009119,2086,678,352,Monze,2008,330,2009,119
91667,1,AAAA0001,AAAA7932,WI_VRZM080,2009330,2010119,2054,907,419,Monze,2009,330,2010,119
91726,3,AAAA0001,AAAA7932,WI_VRZM080,2006330,2007119,3304,796,365,Monze,2006,330,2007,119
91727,3,AAAA0001,AAAA7932,WI_VRZM080,2007330,2008119,4532,1031,368,Monze,2007,330,2008,119
91728,3,AAAA0001,AAAA7932,WI_VRZM080,2008330,2009119,4006,678,350,Monze,2008,330,2009,119
91729,3,AAAA0001,AAAA7932,WI_VRZM080,2009330,2010119,3848,907,419,Monze,2009,330,2010,119
110264,1,AAAA0001,AAAA7932,WI_VRZM080,2006344,2007119,2532,796,369,Monze,2006,344,2007,119
110265,1,AAAA0001,AAAA7932,WI_VRZM080,2007344,2008119,3200,1031,386,Monze,2007,344,2008,119
110266,1,AAAA0001,AAAA7932,WI_VRZM080,2008344,2009119,2287,678,360,Monze,2008,344,2009,119
110267,1,AAAA0001,AAAA7932,WI_VRZM080,2009344,2010119,2342,907,417,Monze,2009,344,2010,119
110326,3,AAAA0001,AAAA7932,WI_VRZM080,2006344,2007119,3677,796,369,Monze,2006,344,2007,119
110327,3,AAAA0001,AAAA7932,WI_VRZM080,2007344,2008119,4958,1031,382,Monze,2007,344,2008,119
110328,3,AAAA0001,AAAA7932,WI_VRZM080,2008344,2009119,3701,678,360,Monze,2008,344,2009,119
110329,3,AAAA0001,AAAA7932,WI_VRZM080,2009344,2010119,4595,907,416,Monze,2009,344,2010,119
127004,1,AAAA0001,AAAA7932,WI_VRZM080,2006358,2007119,1209,796,377,Monze,2006,358,2007,119
127005,1,AAAA0001,AAAA7932,WI_VRZM080,2007358,2008119,3849,1031,397,Monze,2007,358,2008,119
127006,1,AAAA0001,AAAA7932,WI_VRZM080,2008358,2009119,2434,678,370,Monze,2008,358,2009,119
127007,1,AAAA0001,AAAA7932,WI_VRZM080,2009358,2010119,3706,907,416,Monze,2009,358,2010,119
127066,3,AAAA0001,AAAA7932,WI_VRZM080,2006358,2007119,1806,796,377,Monze,2006,358,2007,119
127067,3,AAAA0001,AAAA7932,WI_VRZM080,2007358,2008119,4312,1031,393,Monze,2007,358,2008,119
127068,3,AAAA0001,AAAA7932,WI_VRZM080,2008358,2009119,3521,678,370,Monze,2008,358,2009,119
127069,3,AAAA0001,AAAA7932,WI_VRZM080,2009358,2010119,5069,907,415,Monze,2009,358,2010,119
141884,1,AAAA0001,AAAA7932,WI_VRZM080,2007007,2007119,2274,796,383,Monze,2007,7,2007,119
141885,1,AAAA0001,AAAA7932,WI_VRZM080,2008007,2008119,3765,1031,417,Monze,2008,7,2008,119
141886,1,AAAA0001,AAAA7932,WI_VRZM080,2009007,2009119,1250,678,380,Monze,2009,7,2009,119
141887,1,AAAA0001,AAAA7932,WI_VRZM080,2010007,2010119,3643,907,424,Monze,2010,7,2010,119
141946,3,AAAA0001,AAAA7932,WI_VRZM080,2007007,2007119,2945,796,383,Monze,2007,7,2007,119
141947,3,AAAA0001,AAAA7932,WI_VRZM080,2008007,2008119,5062,1031,417,Monze,2008,7,2008,119
141948,3,AAAA0001,AAAA7932,WI_VRZM080,2009007,2009119,1986,678,380,Monze,2009,7,2009,119
141949,3,AAAA0001,AAAA7932,WI_VRZM080,2010007,2010119,4664,907,424,Monze,2010,7,2010,119
154904,1,AAAA0001,AAAA7932,WI_VRZM080,2007021,2007119,1518,796,390,Monze,2007,21,2007,119
154905,1,AAAA0001,AAAA7932,WI_VRZM080,2008021,2008119,2747,1031,429,Monze,2008,21,2008,119
154906,1,AAAA0001,AAAA7932,WI_VRZM080,2009021,2009119,0,678,383,Monze,2009,21,2009,119
154907,1,AAAA0001,AAAA7932,WI_VRZM080,2010021,2010119,1953,907,433,Monze,2010,21,2010,119
154966,3,AAAA0001,AAAA7932,WI_VRZM080,2007021,2007119,2351,796,390,Monze,2007,21,2007,119
154967,3,AAAA0001,AAAA7932,WI_VRZM080,2008021,2008119,4079,1031,429,Monze,2008,21,2008,119
154968,3,AAAA0001,AAAA7932,WI_VRZM080,2009021,2009119,0,678,383,Monze,2009,21,2009,119
154969,3,AAAA0001,AAAA7932,WI_VRZM080,2010021,2010119,3190,907,433,Monze,2010,21,2010,119
166064,1,AAAA0001,AAAA7932,WI_VRZM080,2007035,2007119,835,796,394,Monze,2007,35,2007,119
166065,1,AAAA0001,AAAA7932,WI_VRZM080,2008035,2008119,1098,1031,435,Monze,2008,35,2008,119
166066,1,AAAA0001,AAAA7932,WI_VRZM080,2009035,2009119,692,678,395,Monze,2009,35,2009,119
166067,1,AAAA0001,AAAA7932,WI_VRZM080,2010035,2010119,919,907,444,Monze,2010,35,2010,119
166126,3,AAAA0001,AAAA7932,WI_VRZM080,2007035,2007119,1268,796,394,Monze,2007,35,2007,119
166127,3,AAAA0001,AAAA7932,WI_VRZM080,2008035,2008119,1804,1031,435,Monze,2008,35,2008,119
166128,3,AAAA0001,AAAA7932,WI_VRZM080,2009035,2009119,1008,678,395,Monze,2009,35,2009,119
166129,3,AAAA0001,AAAA7932,WI_VRZM080,2010035,2010119,1312,907,444,Monze,2010,35,2010,119
